,,,,Execution Time,Execution Time,Execution Time,Execution Time,Guesses,Guesses,Guesses,Guesses,Backtracks,Backtracks,Backtracks,Backtracks
,,,,min,max,mean,count,min,max,mean,count,min,max,mean,count
algorithm,search,guess,Zeros,,,,,,,,,,,,
backtracking,2,2,38.0,0.0062026000232435,0.0131649000104516,0.007311755998525722,50,38.0,379.0,87.26,50,0.0,341.0,49.26,50
backtracking,2,2,39.0,0.0063636999693699,0.0158111999626271,0.0077292219910304535,50,44.0,471.0,107.48,50,5.0,432.0,68.48,50
backtracking,2,2,40.0,0.0065751000074669,0.0138406999758444,0.008388479999266518,50,43.0,429.0,136.74,50,3.0,389.0,96.74,50
backtracking,2,2,41.0,0.0064521000022068,0.0432556999730877,0.008806597999064213,50,44.0,1901.0,159.1,50,3.0,1860.0,118.1,50
backtracking,2,2,42.0,0.006353200005833,0.0873216000036336,0.012104237996973043,50,46.0,4087.0,330.92,50,4.0,4045.0,288.92,50
backtracking,2,2,43.0,0.0063763000071048,0.0723798999679274,0.013375383995007671,50,48.0,3418.0,382.9,50,5.0,3375.0,339.9,50
backtracking,2,2,44.0,0.0066640999866649,0.1188545000040903,0.015157119997311343,50,53.0,5595.0,476.7,50,9.0,5551.0,432.7,50
backtracking,2,2,45.0,0.0063879999797791,0.087622899969574,0.014130777999525841,50,49.0,4160.0,429.78,50,4.0,4115.0,384.78,50
backtracking,3,1,24.0,0.0580491999862715,0.0655236999737098,0.059700407993514046,50,24.0,107.0,34.1,50,0.0,83.0,10.1,50
backtracking,3,1,25.0,0.0579202999942936,0.061295399966184,0.05943908600020218,50,25.0,94.0,40.04,50,0.0,69.0,15.04,50
backtracking,3,1,26.0,0.058064299984835,0.0632795999990776,0.05959610199439335,50,26.0,95.0,38.8,50,0.0,69.0,12.8,50
backtracking,3,1,27.0,0.0581020000390708,0.0671598000335507,0.06064032800029959,50,27.0,195.0,56.06,50,0.0,168.0,29.06,50
backtracking,3,1,28.0,0.0579408999765291,0.062491399992723,0.059870195994153566,50,28.0,139.0,51.08,50,0.0,111.0,23.08,50
backtracking,3,1,29.0,0.0582985000219196,0.0691250000381842,0.06075726399780248,50,29.0,241.0,73.2,50,0.0,212.0,44.2,50
backtracking,3,1,30.0,0.0578805000404827,0.0668231000308878,0.06076205999706867,50,30.0,284.0,83.94,50,0.0,254.0,53.94,50
backtracking,3,1,31.0,0.0583863999927416,0.0681717999977991,0.06163486200035545,50,31.0,384.0,133.6,50,0.0,353.0,102.6,50
backtracking,3,1,32.0,0.0589284999878145,0.0773567999713122,0.06233031999785449,50,32.0,677.0,148.1,50,0.0,645.0,116.1,50
backtracking,3,1,33.0,0.0578844999545253,0.0833652000292204,0.06406115600257176,50,33.0,1089.0,225.88,50,0.0,1056.0,192.88,50
backtracking,3,1,34.0,0.0587318000034429,0.0939644000027328,0.06611068799858909,50,34.0,1369.0,297.24,50,0.0,1335.0,263.24,50
backtracking,3,1,35.0,0.0585195000167004,0.0860547000193037,0.06487446000450285,50,39.0,1143.0,269.58,50,4.0,1108.0,234.58,50
backtracking,3,1,36.0,0.0594207000103779,0.1592759999912232,0.07663516599801365,50,36.0,4193.0,749.12,50,0.0,4157.0,713.12,50
backtracking,3,1,37.0,0.0591569999814964,0.383273699961137,0.0868402800057083,50,48.0,12848.0,1176.34,50,11.0,12811.0,1139.34,50
backtracking,3,1,38.0,0.0581694999709725,0.1932456999784335,0.08585743798874315,50,47.0,5566.0,1152.22,50,9.0,5528.0,1114.22,50
backtracking,3,1,39.0,0.0586007999954745,0.2524628000101074,0.10637444000341924,50,39.0,8071.0,2002.82,50,0.0,8032.0,1963.82,50
